X	Y	D	C
124.175	296.073	16.9534	1
124.415	295.593	17.0488	1
103.07	25.1466	17.1812	1
144.169	256.828	17.4831	1
180.766	257.801	17.5102	1
115.313	332.967	17.5551	1
146.478	308.866	17.564	1
85.0683	344.011	17.591	1
121.108	33.9733	17.7585	1
120.13	46.5406	17.8054	1
104.84	27.8948	17.8114	1
140.851	343.903	17.938	1
93.6951	344.561	18.0811	1
86.5977	12.5597	18.1073	1
143.069	345.865	18.1576	1
98.6089	354.081	18.2108	1
103.123	21.0627	18.4386	1
82.0875	321.14	18.6234	1
160.949	3.80524	18.6599	1
121.515	45.4562	18.8133	1
83.0561	344.729	18.8803	1
157.809	65.4261	19.0175	1
76.6599	326.899	19.2282	1
102.741	25.3039	19.3781	1
97.2876	23.5973	19.4383	1
143.509	253.232	19.4426	1
99.0888	26.1349	19.478	1
72.7304	326.843	19.479	1
137.794	51.1871	19.9365	1
131.928	68.2935	20.0874	1
151.766	110.106	20.0958	1
122.287	45.0885	20.3377	1
96.7916	23.9489	20.5018	1
137.395	63.0759	20.5539	1
116.958	351.005	20.5608	1
92.7561	1.01237	20.638	1
98.9206	343.405	20.8088	1
152.163	110.306	20.8211	1
98.6278	26.2071	21.1575	1
94.6952	306.468	21.3803	1
91.2174	24.481	21.3948	1
104.488	31.9857	21.4059	1
116.535	351.207	21.4233	1
107.235	51.0528	21.5369	1
137.522	51.5272	21.6816	1
102.011	31.9297	21.8562	1
130.493	273.377	22.018	1
156.517	343.297	22.106	1
85.8165	342.471	22.4048	1
144.242	299.566	22.7047	1
76.1741	355.597	23.0163	1
143.378	252.644	23.0843	1
114.41	48.2729	23.2115	1
101.738	29.8232	23.3033	1
122.822	267.317	23.4167	1
126.141	298.864	23.4957	1
172.562	131.7	23.9487	1
94.2885	312.348	24.0303	1
145.06	89.8149	24.1813	1
86.4729	14.3834	24.6287	1
118.291	287.664	24.7119	1
80.0728	3.77246	25.0415	1
124.644	59.2292	25.0854	1
132.334	68.3174	25.501	1
124.319	59.1907	25.6305	1
91.4951	24.3838	26.2369	1
145.345	90.5056	26.4629	1
83.2764	312.832	26.7911	1
83.0081	330.43	26.8582	1
83.5684	313.376	27.1438	1
143.445	39.1898	27.2171	1
71.6664	345.969	27.8027	1
142.803	38.765	28.1284	1
118.4	287.771	30.067	1
106.798	37.2726	30.4158	1
71.7525	15.3515	31.0313	1
106.276	37.6357	32.3748	1
68.8744	333.999	33.9674	1
143.253	6.3176	34.1777	1
98.5074	51.3739	34.889	1
69.2683	353.612	35.4409	1
146.372	328.453	35.8526	1
94.6269	45.5444	36.557	1
124.729	308.784	38.7005	1
86.9858	27.9042	40.013	1
98.2131	51.6044	42.0234	1
127.857	335.412	49.722	1
124.843	308.491	49.8543	1
129.859	329.343	50.5881	1
132.206	74.2712	50.6439	1
121.117	345.365	52.924	1
132.565	74.152	53.2122	1
140.778	328.161	55.788	1
141.014	328.213	56.2487	1
98.8442	55.5361	75.5775	1
99.6497	55.396	76.9837	1
177.055	293.322	84.3529	1
99.23	303.832	1176.58	1
91.0924	56.8804	1178.45	1

